,region,num_sessions,installs,orders,revenue,revenue_quartile,region_russian,revenue_per_order,gmv,conversion,avg_check
0,Krasnodar Krai,1.0,1.0,1.0,1.0,Very High,Краснодарский край,1.0,1.0,1.0,1.0
1,Moscow Oblast,0.52261649681026,0.480609496190648,0.325434782608695,0.490552224662668,Very High,Московская область,1.6864554921628938,0.15964275659130708,0.6227028511249745,1.507374905443071
2,Sverdlovsk Oblast,0.506194346482788,0.457039331004181,0.337536231884057,0.408210114066151,Very High,Свердловская область,1.348128603446693,0.1377857037188497,0.6668115403290743,1.209381617456612
3,Tatarstan Republic,0.440533059782575,0.35690089436941,0.293043478260869,0.304032879929527,Very High,Татарстан,1.1729926390639096,0.08909485264021774,0.665202013228021,1.0375009255755392
4,Chelyabinsk Oblast,0.381014525302433,0.379930437934762,0.216159420289855,0.240917617322201,Very High,Челябинская область,1.299023404081821,0.052076612497980096,0.5673259309950898,1.1145367479203403
5,Bashkortostan Republic,0.307544295192021,0.281629489815688,0.192246376811594,0.210251213612574,Very High,Башкортостан,1.2897173177050802,0.04042003403725785,0.6251014238178647,1.0936550123835371
6,Novosibirsk Oblast,0.300961474260532,0.300121561740239,0.193405797101449,0.223770484779402,Very High,Новосибирская область,1.3635980346476597,0.043278508976537906,0.6426264277733577,1.1569998838350513
7,Nizhny Novgorod Oblast,0.273328194140105,0.231265742089111,0.18927536231884,0.200708972166125,Very High,Нижегородская область,1.2524583488467456,0.03798926342738528,0.6924838577824122,1.0604072802038795
8,Samara Oblast,0.271901764523784,0.256306210586183,0.182898550724637,0.220394682163044,Very High,Самарская область,1.4281368349507004,0.040309867955037756,0.6726640816214282,1.2050105443145873
9,Rostov Oblast,0.266369038586438,0.326066712083049,0.201884057971014,0.248302867231833,Very High,Ростовская область,1.4433428536709523,0.05012839044260037,0.7579111260166285,1.2299280573579698
10,Perm Krai,0.264560204434678,0.237187580077624,0.15463768115942,0.174871187138874,Very High,Пермский край,1.3629232392442017,0.027041674880750467,0.5845084731842248,1.1308446028661976
11,Voronezh Oblast,0.217284685001851,0.211892425672339,0.182246376811594,0.192209818407371,Very High,Воронежская область,1.2504052115809303,0.03502954299235779,0.838744694823022,1.0546701765493927
12,Khabarovsk,0.214425755855948,0.188987881325741,0.202028985507246,0.203170379754964,Very High,Хабаровский край,1.1800634006113044,0.04104630570701728,0.94218618794549,1.0056496558889916
13,Volgograd Oblast,0.153322974014701,0.163356791520053,0.0887681159420289,0.0944764147564752,Very High,Волгоградская область,1.3559407149905933,0.00838649333889,0.5789616103684343,1.0643057335831503
14,Irkutsk Oblast,0.149301656479328,0.164614596158774,0.0744202898550724,0.0784919145963214,Very High,Иркутская область,1.3676168082955722,0.0058413910355378275,0.4984558886349428,1.0547112185289544
15,Krasnoyarsk Krai,0.141729439686306,0.120696120649245,0.0654347826086956,0.0941656747076305,Very High,Красноярский край,1.8901796893899936,0.006161710453694948,0.4616880074706029,1.439076756329238
16,Stavropol Kray,0.139586760305195,0.164739595377528,0.0766666666666666,0.0901287934210246,Very High,Ставропольский край,1.5198345663392263,0.006909874162278547,0.549240246704209,1.1755929576655393
17,Khanty-Mansia,0.12934681663399,0.0945665964587721,0.0515942028985507,0.0721828478077196,High,Ханты-Мансийский автономный округ - Югра,1.8817980501169271,0.00372421649558669,0.3988826647705273,1.3990495782956895
18,Saratov Oblast,0.109744031757786,0.166773957662764,0.058695652173913,0.0707327773915678,High,Саратовская область,1.6001260135925381,0.004151706499070281,0.5348414053482113,1.2050769481526376
19,Tyumen Oblast,0.105762168658609,0.0886494459409628,0.0510869565217391,0.0603531766511343,High,Тюменская область,1.5905931221605252,0.0030832601115253376,0.4830362044356646,1.1813813301924168
20,Udmurtiya Republic,0.100611847256702,0.0812198048762195,0.0521739130434782,0.0524169873400416,High,Удмуртская республика,1.349812063767464,0.002734799339480428,0.5185662967737904,1.004658924017465
21,Primorye,0.0958894547396917,0.0758885881963237,0.0731884057971014,0.0933380188103355,Very High,Приморский край,1.6564260894164353,0.006831260796988318,0.7632581288086769,1.2753115441412186
22,Yaroslavl Oblast,0.0952703235870759,0.0777573265167092,0.065,0.0757852700625213,Very High,Ярославская область,1.5324281114940899,0.0049260425540638845,0.6822691217227871,1.165927231731097
23,Kemerovo Oblast,0.0950548416663125,0.0958212761170242,0.0451449275362318,0.0623025502470061,High,Кемеровская область,1.8812043219157017,0.0028126441162235312,0.47493559238899025,1.3800564902226096
24,Altai Krai,0.0918377876380146,0.0959337754139036,0.0444202898550724,0.0491663152407379,High,Алтайский край,1.5112215377500455,0.0021839819740994415,0.48368205503989536,1.1068436383722413
25,Lipetsk Oblast,0.0870577309450248,0.080938556634021,0.0586231884057971,0.0635055292792712,High,Липецкая область,1.4385837862553486,0.003722896607748579,0.6733829123437235,1.0832834413522157
